STY [mgMeOH h-1 gcat-1],Family,Metal Loading [wt.%],CR Metal [pm],Electronegativity of Metal,Support 1,MW Support 1 [g mol-1],Support2,MW of Support 2 [g mol-1],MW Support 3 [g mol-1],Total MW of Support [g mol-1],Promoter 1,Electronegativity of P1,CR P1 [pm],first ionization energy P1[KJ/mol],electron affinity P1[KJ/mol],Promoter 1 loading [wt.%],Promoter 2 loading [wt.%],Calcination Temperature [K],Calcination duration [h],SBET [m2 g-1],H2/CO2 [-],GHSV [cm3 h-1 gcat-1],Catalyst amount [g],Pressure [Mpa],Temperature [K],Family_band_gap,Family_density,Family_volume,Family_formation_energy_per_atom,Family_total_magnetization_normalized_vol,Family_density_atomic,Family_total_magnetization,Family_a,Family_b,Family_c,Family_alpha,Family_beta,Family_gamma,Family_volume.1,Support1_band_gap,Support1_density,Support1_volume,Support1_formation_energy_per_atom,Support1_total_magnetization_normalized_vol,Support1_density_atomic,Support1_total_magnetization,Support1_a,Support1_b,Support1_c,Support1_alpha,Support1_beta,Support1_gamma,Support1_volume.1,Support2_band_gap,Support2_density,Support2_volume,Support2_formation_energy_per_atom,Support2_total_magnetization_normalized_vol,Support2_density_atomic,Support2_total_magnetization,Support2_a,Support2_b,Support2_c,Support2_alpha,Support2_beta,Support2_gamma,Support2_volume.1,Promoter1_band_gap,Promoter1_density,Promoter1_volume,Promoter1_formation_energy_per_atom,Promoter1_total_magnetization_normalized_vol,Promoter1_density_atomic,Promoter1_total_magnetization,Promoter1_a,Promoter1_b,Promoter1_c,Promoter1_alpha,Promoter1_beta,Promoter1_gamma,Promoter1_volume.1
2620,In2O3,4.4,144,1.78,Fe3O4,159.69,0,0,0,159.69,Ni ,1.91,121,737.1,112,6.8,0.2,623,2,9,10,115500,0.5,6,598,0.7627,7.431383516,248.148913,-1.825650498,4.03E-09,12.40744565,1.00E-06,5.52743787,5.62034609,7.9877681,90,90,90,248.148913,1.2106,5.360007269,455.0635463,-1.488703965,0.184589355,10.83484634,83.9998863,6.81032,6.893131105,10.75721559,96.90542676,103.9955153,108.1381281,455.0635463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,In2O3,4.4,144,1.78,Fe3O4,159.69,0,0,0,159.69,Ni ,1.91,121,737.1,112,6.8,0.2,623,2,9,8,94500,0.5,6,598,0.7627,7.431383516,248.148913,-1.825650498,4.03E-09,12.40744565,1.00E-06,5.52743787,5.62034609,7.9877681,90,90,90,248.148913,1.2106,5.360007269,455.0635463,-1.488703965,0.184589355,10.83484634,83.9998863,6.81032,6.893131105,10.75721559,96.90542676,103.9955153,108.1381281,455.0635463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233.6,Cu,36.5,138,1.9,ZnO,81.38,0,0,60,141.38,Mn,1.55,139,717.3,0,2.7,0,573,4,218,3,120000,0.02,4,453,0,9.20140094,11.46788584,0.03556281,0,11.46788584,0,2.462702208,2.462702208,2.462702208,107.8165304,107.8165304,112.8338417,11.46788584,0.4516,5.50814457,49.08434295,-1.347222578,1.63E-08,12.27108574,8.00E-07,3.205217816,3.205217816,5.516927,90,90,119.9999962,49.08434295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.432434019,10.81855722,0.369725386,0.106035165,10.81855722,1.1471475,2.413220907,2.413220907,2.413220907,109.4712206,109.4712206,109.4712206,10.81855722
2230,In2O3,4.4,144,1.78,Fe3O4,159.69,0,0,0,159.69,Ni ,1.91,121,737.1,112,6.8,0.2,623,2,9,10,115500,0.5,4,598,0.7627,7.431383516,248.148913,-1.825650498,4.03E-09,12.40744565,1.00E-06,5.52743787,5.62034609,7.9877681,90,90,90,248.148913,1.2106,5.360007269,455.0635463,-1.488703965,0.184589355,10.83484634,83.9998863,6.81032,6.893131105,10.75721559,96.90542676,103.9955153,108.1381281,455.0635463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2224,Cu,36.5,138,1.9,ZnO,81.38,SBA-15,60,0,141.38,Mn,1.55,139,717.3,0,2.7,0,773,5,218,3,60000,0.04,4,453,0,9.20140094,11.46788584,0.03556281,0,11.46788584,0,2.462702208,2.462702208,2.462702208,107.8165304,107.8165304,112.8338417,11.46788584,0.4516,5.50814457,49.08434295,-1.347222578,1.63E-08,12.27108574,8.00E-07,3.205217816,3.205217816,5.516927,90,90,119.9999962,49.08434295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.432434019,10.81855722,0.369725386,0.106035165,10.81855722,1.1471475,2.413220907,2.413220907,2.413220907,109.4712206,109.4712206,109.4712206,10.81855722
2090,In2O3,4.4,144,1.78,Fe3O4,159.69,0,0,0,159.69,Ni ,1.91,121,737.1,112,6.8,0.2,623,2,9,8,94500,0.5,4,598,0.7627,7.431383516,248.148913,-1.825650498,4.03E-09,12.40744565,1.00E-06,5.52743787,5.62034609,7.9877681,90,90,90,248.148913,1.2106,5.360007269,455.0635463,-1.488703965,0.184589355,10.83484634,83.9998863,6.81032,6.893131105,10.75721559,96.90542676,103.9955153,108.1381281,455.0635463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Cu,20.5,138,1.9,ZnO,81.38,Al2O3,101.96,0,183.34,0,0,,,,0,0,673,4,125,10,19200,0.17,3.6,533,0,9.20140094,11.46788584,0.03556281,0,11.46788584,0,2.462702208,2.462702208,2.462702208,107.8165304,107.8165304,112.8338417,11.46788584,0.4516,5.50814457,49.08434295,-1.347222578,1.63E-08,12.27108574,8.00E-07,3.205217816,3.205217816,5.516927,90,90,119.9999962,49.08434295,0,3.061639523,634.3399986,-3.349636855,0.001894773,10.93689653,1.2019301,22.860096,5.651388,5.662634664,60.12364367,90,90,634.3399986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,In2O3,4.4,144,1.78,Fe3O4,159.69,0,0,0,159.69,Ni ,1.91,121,737.1,112,6.8,0.2,623,2,9,6,73500,0.5,6,598,0.7627,7.431383516,248.148913,-1.825650498,4.03E-09,12.40744565,1.00E-06,5.52743787,5.62034609,7.9877681,90,90,90,248.148913,1.2106,5.360007269,455.0635463,-1.488703965,0.184589355,10.83484634,83.9998863,6.81032,6.893131105,10.75721559,96.90542676,103.9955153,108.1381281,455.0635463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1830,In2O3,4.4,144,1.78,Fe3O4,159.69,0,0,0,159.69,Ni ,1.91,121,737.1,112,6.8,0.2,623,2,9,6,73500,0.5,4,598,0.7627,7.431383516,248.148913,-1.825650498,4.03E-09,12.40744565,1.00E-06,5.52743787,5.62034609,7.9877681,90,90,90,248.148913,1.2106,5.360007269,455.0635463,-1.488703965,0.184589355,10.83484634,83.9998863,6.81032,6.893131105,10.75721559,96.90542676,103.9955153,108.1381281,455.0635463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804.8,Cu,24.4,138,1.9,ZnO,81.38,SBA-15,60,0,141.38,0,0,,,,0,0,623,4,245,16.5,30000,1,4,533,0,9.20140094,11.46788584,0.03556281,0,11.46788584,0,2.462702208,2.462702208,2.462702208,107.8165304,107.8165304,112.8338417,11.46788584,0.4516,5.50814457,49.08434295,-1.347222578,1.63E-08,12.27108574,8.00E-07,3.205217816,3.205217816,5.516927,90,90,119.9999962,49.08434295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
